id,brand,name,display_size,main_camera,selfie_camera,chipset,storage_and_ram,battary,price
661,Amazon,Kindle Fire HDX 8.9,"['8.9', 'inches,', '229.7', 'cm2']","['Single', '8', 'MP,', 'AF']",NaN,"['Qualcomm', 'Snapdragon', '800', '(28', 'nm)']","['16GB', '2GB', 'RAM,', '32GB', '2GB', 'RAM,', '64GB', '2GB', 'RAM']","['Non-removable', 'Li-Ion', 'battery']","['About', '170', 'EUR']"
662,Amoi,2560,['NaN'],"['Single', 'VGA']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '860', 'mAh', 'battery']","['About', '280', 'EUR']"
663,Amoi,2561,['NaN'],"['Single', 'VGA']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '860', 'mAh', 'battery']",NaN
664,Amoi,6201,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
665,Amoi,A10,"['1.5', 'inches,', '7.3', 'cm2']",NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '1100', 'mAh', 'battery']",NaN
666,Amoi,A100,"['1.5', 'inches,', '7.3', 'cm2']",NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '750', 'mAh', 'battery']",NaN
667,Amoi,A102,"['1.5', 'inches,', '7.3', 'cm2']",NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '750', 'mAh', 'battery']",NaN
668,Amoi,A200,"['1.5', 'inches,', '7.3', 'cm2']","['Single', 'VGA']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '750', 'mAh', 'battery']",NaN
669,Amoi,A203,"['1.5', 'inches,', '7.3', 'cm2']","['Single', 'VGA']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '750', 'mAh', 'battery']",NaN
670,Amoi,A210,"['1.8', 'inches,', '10.2', 'cm2']",NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
671,Amoi,A211,"['1.8', 'inches,', '10.2', 'cm2']",NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
672,Amoi,A310,"['1.5', 'inches,', '7.3', 'cm2']",NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
673,Amoi,A320,"['1.8', 'inches,', '10.2', 'cm2']","['Single', 'VGA']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
674,Amoi,A675,"['2.0', 'inches,', '12.4', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
675,Amoi,A865,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
676,Amoi,A869,"['2.0', 'inches,', '12.4', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '720', 'mAh', 'battery']",NaN
677,Amoi,A90,['NaN'],NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '550', 'mAh', 'battery']",NaN
678,Amoi,A90B,['NaN'],NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '860', 'mAh', 'battery']",NaN
679,Amoi,A9B,['NaN'],NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '860', 'mAh', 'battery']",NaN
680,Amoi,CA6,['NaN'],NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '860', 'mAh', 'battery']",NaN
681,Amoi,CA8,['NaN'],NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '860', 'mAh', 'battery']",NaN
682,Amoi,CMA8170,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,NaN,"['Removable', 'Li-Ion', '860', 'mAh', 'battery']",NaN
683,Amoi,CS6,['NaN'],NaN,NaN,NaN,NaN,"['Removable', 'Li-Ion', '860', 'mAh', 'battery']",NaN
684,Amoi,E72,"['2.0', 'inches,', '12.6', 'cm2']","['Single', '1.3', 'MP']","['NaN', 'No']",NaN,['64MB'],"['Removable', 'Li-Ion', '1100', 'mAh', 'battery']",NaN
685,Amoi,E76,"['2.2', 'inches,', '15.0', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']",NaN,['64MB'],"['Removable', 'Li-Ion', '1100', 'mAh', 'battery']",NaN
686,Amoi,E78,"['2.46', 'inches,', '18.7', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']",NaN,['64MB'],"['Removable', 'Li-Ion', '1100', 'mAh', 'battery']",NaN
687,Amoi,E850,"['2.4', 'inches,', '16.8', 'cm2']","['Single', '2', 'MP']","['NaN', 'No']",NaN,"['64MB', 'RAM,', '128MB', 'ROM']","['Removable', 'Li-Ion', '1100', 'mAh', 'battery']",NaN
